USER	PID	LWP	NLWP	CPU	MEM	COMMAND
supprit	2595	2573	2595	0.20	0.20	1:44 /usr/bin/pipewire-pulse
supprit	2597	2573	2597	0.00	0.00	0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
supprit	2611	2573	2611	0.00	0.00	0:07 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
supprit	2658	2573	2658	0.00	0.00	0:00 /usr/libexec/xdg-document-portal
supprit	2662	2573	2662	0.00	0.00	0:00 /usr/libexec/xdg-permission-store
root	2669	2658	2669	0.00	0.00	0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
supprit	2692	2560	2692	0.00	0.00	0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
supprit	2701	2692	2701	0.00	0.10	0:00 /usr/libexec/gnome-session-binary --session=ubuntu
supprit	2765	2573	2765	0.00	0.00	0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
supprit	2769	2573	2769	0.00	0.00	0:00 /usr/libexec/gnome-session-ctl --monitor
supprit	2786	2573	2786	0.00	0.00	0:00 /usr/libexec/gvfsd
supprit	2795	2573	2795	0.00	0.00	0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
supprit	2798	2573	2798	0.00	0.10	0:02 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
supprit	2832	2798	2832	0.00	0.00	0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
supprit	2844	2832	2844	0.00	0.00	0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
supprit	2845	2573	2845	5.90	2.10	43:25 /usr/bin/gnome-shell
supprit	2935	2573	2935	0.00	0.00	0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
supprit	2965	2573	2965	0.00	0.10	0:00 /usr/libexec/gnome-shell-calendar-server
supprit	2973	2573	2973	0.00	0.20	0:00 /usr/libexec/evolution-source-registry
supprit	2977	2591	2977	0.00	0.20	0:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
supprit	2987	2573	2987	0.00	0.10	0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
supprit	2997	2573	2997	0.00	0.00	0:29 /usr/bin/ibus-daemon --panel disable
supprit	2998	2573	2998	0.00	0.00	0:00 /usr/libexec/gsd-a11y-settings
supprit	3008	2573	3008	0.00	0.10	0:00 /usr/libexec/gsd-color
supprit	3010	2573	3010	0.00	0.00	0:00 /usr/libexec/gsd-datetime
supprit	3016	2573	3016	0.00	0.00	0:01 /usr/libexec/gsd-housekeeping
supprit	3017	2573	3017	0.00	0.10	0:00 /usr/libexec/gsd-keyboard
supprit	3022	2573	3022	0.00	0.10	0:02 /usr/libexec/gsd-media-keys
supprit	3025	2573	3025	0.00	0.10	0:01 /usr/libexec/gsd-power
supprit	3028	2573	3028	0.00	0.00	0:00 /usr/libexec/gsd-print-notifications
supprit	3035	2573	3035	0.00	0.00	0:00 /usr/libexec/gsd-rfkill
supprit	3038	2573	3038	0.00	0.00	0:00 /usr/libexec/gsd-screensaver-proxy
supprit	3044	2573	3044	0.00	0.00	0:03 /usr/libexec/gsd-sharing
supprit	3052	2573	3052	0.00	0.00	0:00 /usr/libexec/gsd-smartcard
supprit	3063	2573	3063	0.00	0.00	0:00 /usr/libexec/gsd-sound
supprit	3066	2573	3066	0.00	0.10	0:00 /usr/libexec/gsd-wacom
supprit	3084	2573	3084	0.00	0.00	0:00 /usr/libexec/gvfs-udisks2-volume-monitor
supprit	3096	2798	3096	0.00	0.30	0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
supprit	3112	2997	3112	0.00	0.00	0:00 /usr/libexec/ibus-memconf
supprit	3119	2997	3119	0.00	0.10	0:08 /usr/libexec/ibus-extension-gtk3
supprit	3137	2573	3137	0.00	0.00	0:00 /usr/libexec/ibus-portal
supprit	3146	2573	3146	0.00	0.10	0:00 /usr/libexec/goa-daemon
supprit	3148	2798	3148	0.00	0.00	0:00 /usr/libexec/gsd-disk-utility-notify
supprit	3174	2573	3174	0.00	0.30	0:30 /bin/warp-taskbar
supprit	3205	2573	3205	0.00	0.00	0:00 /usr/libexec/goa-identity-service
supprit	3234	2573	3234	0.00	0.00	0:00 /usr/libexec/gsd-printer
supprit	3248	2573	3248	0.00	0.10	0:00 /usr/libexec/evolution-calendar-factory
supprit	3264	2573	3264	0.00	0.00	0:01 /usr/libexec/gvfs-afc-volume-monitor
supprit	3293	2573	3293	0.00	0.00	0:00 /usr/libexec/gvfs-mtp-volume-monitor
supprit	3303	2573	3303	0.00	0.00	0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
supprit	3321	2573	3321	0.00	0.00	0:00 /usr/libexec/gvfs-goa-volume-monitor
supprit	3327	2573	3327	0.00	0.10	0:00 /usr/libexec/evolution-addressbook-factory
supprit	3354	2997	3354	0.00	0.00	0:10 /usr/libexec/ibus-engine-simple
supprit	3377	2573	3377	0.00	0.00	0:00 /usr/libexec/dconf-service
supprit	3390	2786	3390	0.00	0.00	0:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
supprit	3413	2573	3413	0.00	0.00	0:01 /usr/libexec/xdg-desktop-portal
supprit	3422	2573	3422	0.00	0.20	0:01 /usr/libexec/tracker-miner-fs-3
supprit	3426	2573	3426	0.00	1.20	0:08 /usr/libexec/xdg-desktop-portal-gnome
supprit	3461	2573	3461	0.00	0.10	0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
supprit	3549	2573	3549	0.00	0.10	0:00 /usr/libexec/xdg-desktop-portal-gtk
supprit	3555	2573	3555	0.00	0.00	0:00 /usr/libexec/gvfsd-metadata
supprit	3594	2786	3594	0.00	0.00	0:00 /usr/libexec/gvfsd-recent --spawner :1.20 /org/gtk/gvfs/exec_spaw/1
supprit	3934	2845	3934	0.20	0.80	1:46 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.9DL0K3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
supprit	3944	2573	3944	0.00	0.50	0:01 /usr/libexec/gsd-xsettings
supprit	3968	2573	3968	0.00	0.10	0:00 /usr/libexec/ibus-x11
supprit	3974	2845	3974	0.00	0.40	0:04 /usr/libexec/mutter-x11-frames
supprit	5734	2798	5734	0.00	0.20	0:00 /usr/bin/update-notifier
root	7027	1	7027	0.00	0.20	0:03 /usr/libexec/fwupd/fwupd
supprit	10965	2573	10965	0.10	1.50	1:05 /usr/share/antigravity/antigravity .
supprit	10969	10965	10969	0.00	0.30	0:00 /usr/share/antigravity/antigravity --type=zygote --no-zygote-sandbox
supprit	10970	10965	10970	0.00	0.30	0:00 /usr/share/antigravity/antigravity --type=zygote
supprit	10972	10970	10972	0.00	0.00	0:00 /usr/share/antigravity/antigravity --type=zygote
supprit	11008	2573	11008	0.00	0.00	0:00 /usr/share/antigravity/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/supprit/.config/Antigravity/Crashpad --annotation=_companyName=Google --annotation=_productName=Antigravity --annotation=_version=UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD

supprit	11028	10969	11028	0.10	1.00	1:11 /usr/share/antigravity/antigravity --type=zygote --no-zygote-sandbox
supprit	11049	10965	11049	0.00	0.50	0:06 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=11008 --enable-crash-reporter=eb31cc92-fe53-4272-8de1-926faf1bbdda,no_channel --user-data-dir=/home/supprit/.config/AUID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD

supprit	11135	10972	11135	0.00	0.90	0:02 /usr/share/antigravity/antigravity --type=zygote
supprit	11174	10965	11174	0.00	0.70	0:18 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=11008 --enable-crash-reporter=eb31cc92-fe53-4272-8de1-926faf1bbdda,no_channel --user-data-dir=/home/supprit/.config/AntigraUID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD

supprit	11204	10965	11204	0.00	0.70	0:06 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=11008 --enable-crash-reporter=eb31cc92-fe53-4272-8de1-926faf1bbdda,no_channel --user-data-dir=/home/supprit/.config/AntigraUID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD

supprit	12806	2786	12806	0.00	0.00	0:00 /usr/libexec/gvfsd-http --spawner :1.20 /org/gtk/gvfs/exec_spaw/2
supprit	14093	10965	14093	0.00	0.40	0:01 /proc/self/exe --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=11008 --enable-crash-reporter=eb31cc92-fe53-4272-8de1-926faf1bbdda,no_channel --user-data-dir=/home/supprit/.config/AntigUID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD

supprit	41143	2786	41143	0.00	0.00	0:00 /usr/libexec/gvfsd-network --spawner :1.20 /org/gtk/gvfs/exec_spaw/3
supprit	41153	2786	41153	0.00	0.00	0:00 /usr/libexec/gvfsd-dnssd --spawner :1.20 /org/gtk/gvfs/exec_spaw/4
root	45383	2	45383	0.00	0.00	0:02 [kworker/u74:3-flush-259:0]
supprit	53563	2573	53563	0.00	1.10	0:24 /usr/share/antigravity/antigravity .
supprit	53567	53563	53567	0.00	0.20	0:00 /usr/share/antigravity/antigravity --type=zygote --no-zygote-sandbox
supprit	53568	53563	53568	0.00	0.30	0:00 /usr/share/antigravity/antigravity --type=zygote
supprit	53570	53568	53570	0.00	0.00	0:00 /usr/share/antigravity/antigravity --type=zygote
supprit	53585	2573	53585	0.00	0.00	0:00 /usr/share/antigravity/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/supprit/.config/Antigravity/Crashpad --annotation=_companyName=Google --annotation=_productName=Antigravity --annotation=_version=UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD

supprit	53604	53567	53604	0.00	0.80	0:16 /usr/share/antigravity/antigravity --type=zygote --no-zygote-sandbox
