UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
gnome-r+    1112       1    1271  0    4 09:19 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1112       1    1273  0    4 09:19 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1115       1    1115  0    4 09:19 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug
polkitd     1115       1    1227  0    4 09:19 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
polkitd     1115       1    1229  0    4 09:19 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
polkitd     1115       1    1230  0    4 09:19 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root        1117       1    1117  0    4 09:19 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1117       1    1165  0    4 09:19 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1117       1    1166  0    4 09:19 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1117       1    1181  0    4 09:19 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1124       1    1124  0   22 09:19 ?        00:00:01 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1418  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1419  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1420  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1421  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1422  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1685  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1686  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1687  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1698  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1745  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1746  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1761  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1762  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1776  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1777  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1785  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
root        1124       1    1790  0   22 09:19 ?        00:00:00 /snap/snapd/current/usr/lib/snapd/snapd
